NAICS Sector,Enterprise Size,Firms,Establishments,Employment,"Payroll ($1,000)",Year
Total,Total,"6,022,127","7,601,160","119,917,165","4,792,429,911",2006
,<500 employees,"6,004,056","6,472,647","60,223,740","2,128,793,097",2006
,500-999 employees,"8,974","112,383","6,197,683","247,551,621",2006
,"1,000-2,499 employees","5,336","136,993","8,143,512","348,224,922",2006
,"2,500-4,999 employees","1,877","113,479","6,479,030","304,377,206",2006
,"5,000-9,999 employees",931,"121,673","6,490,547","302,709,162",2006
,"10,000 or more employees",953,"643,985","32,382,653","1,460,773,903",2006
"Ag. Support, Forestry, Fishing, and Hunting",Total,"22,888","23,551","165,661","5,199,819",2006
,<500 employees,"22,797","23,093",[m],(D),2006
,500-999 employees,22,102,[h],(D),2006
,"1,000-2,499 employees",24,148,"10,582","339,392",2006
,"2,500-4,999 employees",24,56,[h],(D),2006
,"5,000-9,999 employees",6,11,206,"8,591",2006
,"10,000 or more employees",15,141,"4,355","249,580",2006
Mining,Total,"20,583","26,248","554,333","37,489,095",2006
,<500 employees,"20,249","21,878","244,538","14,311,939",2006
,500-999 employees,94,424,"32,867","2,436,879",2006
,"1,000-2,499 employees",110,924,"70,354","5,077,908",2006
,"2,500-4,999 employees",46,698,"51,010","3,774,935",2006
,"5,000-9,999 employees",34,"1,023","57,244","4,207,619",2006
,"10,000 or more employees",50,"1,301","98,320","7,679,815",2006
Utilities,Total,"6,554","17,174","614,427","47,692,490",2006
,<500 employees,"6,357","7,853","109,159","5,991,897",2006
,500-999 employees,35,263,"15,324","1,146,159",2006
,"1,000-2,499 employees",53,925,"48,429","3,716,435",2006
,"2,500-4,999 employees",30,"1,381","54,037","4,107,128",2006
,"5,000-9,999 employees",35,"2,473","117,378","9,114,957",2006
,"10,000 or more employees",44,"4,279","270,100","23,615,914",2006
Construction,Total,"791,558","802,349","7,338,799","322,004,134",2006
,<500 employees,"790,464","793,996","6,264,657","262,414,947",2006
,500-999 employees,537,"1,518","289,903","13,654,569",2006
,"1,000-2,499 employees",296,"1,599","264,624","14,399,451",2006
,"2,500-4,999 employees",105,"1,169","150,145","8,755,762",2006
,"5,000-9,999 employees",64,"1,198","138,160","8,480,615",2006
,"10,000 or more employees",92,"2,869","231,310","14,298,790",2006
Manufacturing,Total,"286,039","331,062","13,631,683","620,223,611",2006
,<500 employees,"281,970","295,601","6,056,221","234,966,293",2006
,500-999 employees,"1,754","6,108","931,758","41,160,067",2006
,"1,000-2,499 employees","1,186","7,596","1,252,769","56,999,398",2006
,"2,500-4,999 employees",502,"6,071","1,087,704","52,401,844",2006
,"5,000-9,999 employees",295,"5,146","1,008,862","46,541,082",2006
,"10,000 or more employees",332,"10,540","3,294,369","188,154,927",2006
Wholesale Trade,Total,"334,597","429,952","6,030,647","323,269,989",2006
,<500 employees,"331,538","369,990","3,685,678","175,816,200",2006
,500-999 employees,"1,117","8,519","307,080","17,508,284",2006
,"1,000-2,499 employees",858,"9,914","327,548","20,224,468",2006
,"2,500-4,999 employees",459,"9,788","321,133","19,148,106",2006
,"5,000-9,999 employees",290,"8,682","311,504","20,759,842",2006
,"10,000 or more employees",335,"23,059","1,077,704","69,813,089",2006
Retail Trade,Total,"725,577","1,120,319","15,767,866","368,277,604",2006
,<500 employees,"723,267","810,366","6,314,262","169,093,797",2006
,500-999 employees,885,"18,495","353,969","9,605,972",2006
,"1,000-2,499 employees",606,"26,877","441,374","10,984,985",2006
,"2,500-4,999 employees",282,"26,288","403,768","8,665,249",2006
,"5,000-9,999 employees",204,"36,886","618,575","14,222,621",2006
,"10,000 or more employees",333,"201,407","7,635,918","155,704,980",2006
Transportation and Warehousing,Total,"171,947","215,117","4,306,405","166,173,942",2006
,<500 employees,"169,807","179,620","1,629,628","55,865,115",2006
,500-999 employees,636,"3,863","199,095","7,888,782",2006
,"1,000-2,499 employees",551,"4,493","246,970","9,768,756",2006
,"2,500-4,999 employees",328,"4,760","238,276","9,947,817",2006
,"5,000-9,999 employees",255,"4,962","281,265","11,457,723",2006
,"10,000 or more employees",370,"17,419","1,711,171","71,245,749",2006
Information,Total,"74,952","141,945","3,396,246","213,277,018",2006
,<500 employees,"73,876","80,891","894,006","47,696,808",2006
,500-999 employees,323,"2,478","148,327","10,120,348",2006
,"1,000-2,499 employees",289,"4,432","234,476","16,416,700",2006
,"2,500-4,999 employees",121,"2,142","148,461","12,657,857",2006
,"5,000-9,999 employees",116,"3,417","229,339","14,536,871",2006
,"10,000 or more employees",227,"48,585","1,741,637","111,848,434",2006
Finance and Insurance,Total,"263,028","494,329","6,647,098","480,994,365",2006
,<500 employees,"261,345","312,214","2,183,865","132,989,943",2006
,500-999 employees,542,"11,875","270,144","18,458,257",2006
,"1,000-2,499 employees",448,"19,227","405,442","30,800,275",2006
,"2,500-4,999 employees",252,"18,462","459,925","33,862,542",2006
,"5,000-9,999 employees",168,"14,004","371,869","31,047,823",2006
,"10,000 or more employees",273,"118,547","2,955,853","233,835,525",2006
Real Estate and Rental and Leasing,Total,"305,981","382,128","2,216,803","87,528,338",2006
,<500 employees,"304,771","327,230","1,521,036","56,721,001",2006
,500-999 employees,391,"4,723","92,567","4,510,260",2006
,"1,000-2,499 employees",348,"7,225","111,372","5,522,753",2006
,"2,500-4,999 employees",146,"4,129","57,335","2,919,279",2006
,"5,000-9,999 employees",118,"9,968","95,329","4,348,641",2006
,"10,000 or more employees",207,"28,853","339,164","13,506,404",2006
"Professional, Scientific, and Technical Services",Total,"772,025","846,473","8,054,094","497,406,545",2006
,<500 employees,"769,050","794,346","4,958,015","282,558,751",2006
,500-999 employees,967,"5,380","388,295","27,850,964",2006
,"1,000-2,499 employees",822,"5,673","484,736","34,367,616",2006
,"2,500-4,999 employees",410,"5,544","355,420","25,550,807",2006
,"5,000-9,999 employees",300,"8,202","318,308","17,814,487",2006
,"10,000 or more employees",476,"27,328","1,549,320","109,263,920",2006
Management of Companies and Enterprises,Total,"26,760","48,311","2,915,644","266,267,977",2006
,<500 employees,"19,708","21,044","351,676","23,083,863",2006
,500-999 employees,"2,438","3,343","168,103","12,711,973",2006
,"1,000-2,499 employees","2,088","3,721","282,513","25,030,725",2006
,"2,500-4,999 employees","1,053","2,918","285,775","26,903,210",2006
,"5,000-9,999 employees",678,"2,945","317,098","31,057,447",2006
,"10,000 or more employees",795,"14,340","1,510,479","147,480,759",2006
"Admin., Support, Waste Mngt., and Remediation",Total,"323,282","378,335","10,003,626","283,240,782",2006
,<500 employees,"319,603","330,270","3,732,538","107,045,253",2006
,500-999 employees,"1,446","5,016","715,846","17,263,576",2006
,"1,000-2,499 employees","1,041","5,559","948,318","22,971,000",2006
,"2,500-4,999 employees",473,"5,738","691,045","19,384,528",2006
,"5,000-9,999 employees",288,"4,756","611,412","16,918,637",2006
,"10,000 or more employees",431,"26,996","3,304,467","99,657,788",2006
Educational Services,Total,"73,793","82,647","2,979,514","88,452,753",2006
,<500 employees,"72,657","76,557","1,333,946","35,016,796",2006
,500-999 employees,507,"1,512","290,998","6,859,326",2006
,"1,000-2,499 employees",385,"1,262","475,240","11,994,345",2006
,"2,500-4,999 employees",106,935,"211,400","6,711,097",2006
,"5,000-9,999 employees",42,399,"173,888","6,864,381",2006
,"10,000 or more employees",96,"1,982","494,042","21,006,808",2006
Health Care and Social Assistance,Total,"605,845","762,451","16,451,361","626,586,952",2006
,<500 employees,"602,022","678,744","7,946,394","281,620,985",2006
,500-999 employees,"1,807","19,036","1,143,742","38,320,239",2006
,"1,000-2,499 employees","1,154","14,994","1,606,453","61,156,437",2006
,"2,500-4,999 employees",471,"10,526","1,399,107","58,090,886",2006
,"5,000-9,999 employees",213,"6,220","1,264,255","53,913,187",2006
,"10,000 or more employees",178,"32,931","3,091,410","133,485,218",2006
"Arts, Entertainment, and Recreation",Total,"115,049","123,048","1,973,655","56,838,765",2006
,<500 employees,"114,377","117,186",[m],(D),2006
,500-999 employees,287,"1,340",[m],(D),2006
,"1,000-2,499 employees",199,"1,190","160,251","4,969,186",2006
,"2,500-4,999 employees",71,916,[l],(D),2006
,"5,000-9,999 employees",36,577,"58,105","1,130,288",2006
,"10,000 or more employees",79,"1,839","225,316","4,907,152",2006
Accommodation and Food Services,Total,"467,120","612,254","11,381,226","167,231,246",2006
,<500 employees,"465,271","506,518","6,848,906","90,254,545",2006
,500-999 employees,933,"13,951","547,756","7,939,401",2006
,"1,000-2,499 employees",530,"15,356","623,144","9,392,598",2006
,"2,500-4,999 employees",162,"8,122","370,264","6,363,361",2006
,"5,000-9,999 employees",99,"8,916","437,470","7,426,703",2006
,"10,000 or more employees",125,"59,391","2,553,686","45,854,638",2006
Other Services (except Public Administration),Total,"672,056","736,440","5,458,558","133,557,722",2006
,<500 employees,"670,657","698,224","4,663,580","109,198,741",2006
,500-999 employees,498,"4,437","165,118","5,020,964",2006
,"1,000-2,499 employees",369,"5,878","148,917","4,092,494",2006
,"2,500-4,999 employees",197,"3,835","106,631","3,223,463",2006
,"5,000-9,999 employees",131,"1,888","80,280","2,857,647",2006
,"10,000 or more employees",204,"22,178","294,032","9,164,413",2006
Unclassified,Total,"27,027","27,027","29,519","716,764",2006
,<500 employees,"27,026","27,026",[k],(D),2006
,"2,500-4,999 employees",1,1,[a],(D),2006
Total,Total,"5,983,546","7,499,702","116,317,003","4,482,722,481",2005
,<500 employees,"5,966,069","6,420,532","58,644,585","2,012,581,741",2005
,500-999 employees,"8,701","111,128","6,018,347","230,798,233",2005
,"1,000-2,499 employees","5,159","132,020","7,892,154","324,294,552",2005
,"2,500-4,999 employees","1,787","111,752","6,199,781","276,630,183",2005
,"5,000-9,999 employees",918,"123,808","6,438,639","297,593,815",2005
,"10,000 or more employees",912,"600,462","31,123,497","1,340,823,957",2005
"Ag. Support, Forestry, Fishing, and Hunting",Total,"23,447","24,102","168,744","5,095,741",2005
,<500 employees,"23,352","23,634","142,615","4,162,097",2005
,500-999 employees,21,96,"4,832","98,756",2005
,"1,000-2,499 employees",27,157,"11,209","336,751",2005
,"2,500-4,999 employees",25,48,"3,158","142,118",2005
,"5,000-9,999 employees",6,17,255,"12,593",2005
,"10,000 or more employees",16,150,"6,675","343,426",2005
Mining,Total,"19,406","24,696","497,272","30,823,272",2005
,<500 employees,"19,091","20,657","219,735","11,978,602",2005
,500-999 employees,95,515,"30,166","2,194,235",2005
,"1,000-2,499 employees",93,813,"57,150","4,110,051",2005
,"2,500-4,999 employees",45,678,"46,450","2,934,526",2005
,"5,000-9,999 employees",35,982,"64,593","3,919,922",2005
,"10,000 or more employees",47,"1,051","79,178","5,685,936",2005
Utilities,Total,"6,660","17,326","633,106","46,292,766",2005
,<500 employees,"6,459","7,937","109,175","5,764,524",2005
,500-999 employees,39,252,"14,834","1,053,711",2005
,"1,000-2,499 employees",54,909,"45,466","3,446,361",2005
,"2,500-4,999 employees",28,"1,368","53,269","3,851,084",2005
,"5,000-9,999 employees",37,"2,983","132,362","10,027,826",2005
,"10,000 or more employees",43,"3,877","278,000","22,149,260",2005
Construction,Total,"777,664","787,672","6,781,327","292,519,343",2005
,<500 employees,"776,663","779,596","5,841,751","241,077,229",2005
,500-999 employees,495,"1,675","260,731","12,544,626",2005
,"1,000-2,499 employees",245,"1,360","219,251","11,474,055",2005
,"2,500-4,999 employees",105,"1,083","120,641","6,992,831",2005
,"5,000-9,999 employees",66,"1,128","116,279","7,114,461",2005
,"10,000 or more employees",90,"2,830","222,674","13,316,141",2005
Manufacturing,Total,"288,568","333,460","13,667,337","600,696,305",2005
,<500 employees,"284,536","298,286","6,038,792","227,207,868",2005
,500-999 employees,"1,754","6,050","920,652","38,810,061",2005
,"1,000-2,499 employees","1,168","7,450","1,256,563","55,393,469",2005
,"2,500-4,999 employees",488,"5,661","1,057,472","49,132,755",2005
,"5,000-9,999 employees",292,"5,310","994,460","45,080,425",2005
,"10,000 or more employees",330,"10,703","3,399,398","185,071,727",2005
Wholesale Trade,Total,"336,736","429,823","5,968,929","308,918,023",2005
,<500 employees,"333,706","371,394","3,637,229","167,242,643",2005
,500-999 employees,"1,124","8,109","301,860","16,367,319",2005
,"1,000-2,499 employees",841,"10,136","328,206","19,830,534",2005
,"2,500-4,999 employees",444,"9,332","299,234","17,108,308",2005
,"5,000-9,999 employees",276,"7,306","278,408","17,807,499",2005
,"10,000 or more employees",345,"23,546","1,123,992","70,561,720",2005
Retail Trade,Total,"736,940","1,123,207","15,338,672","348,047,012",2005
,<500 employees,"734,636","821,693","6,307,978","164,591,859",2005
,500-999 employees,901,"19,760","361,897","9,552,504",2005
,"1,000-2,499 employees",598,"26,355","447,969","10,423,629",2005
,"2,500-4,999 employees",273,"23,554","357,321","7,889,173",2005
,"5,000-9,999 employees",211,"39,433","681,898","14,962,157",2005
,"10,000 or more employees",321,"192,412","7,181,609","140,627,690",2005
Transportation and Warehousing,Total,"169,086","211,150","4,168,016","154,375,938",2005
,<500 employees,"166,946","176,625","1,586,501","52,421,618",2005
,500-999 employees,637,"3,794","183,625","6,914,357",2005
,"1,000-2,499 employees",556,"4,644","251,430","9,559,004",2005
,"2,500-4,999 employees",312,"4,345","228,086","8,900,342",2005
,"5,000-9,999 employees",258,"4,349","240,765","9,801,113",2005
,"10,000 or more employees",377,"17,393","1,677,609","66,779,504",2005
Information,Total,"75,261","141,290","3,402,599","203,129,725",2005
,<500 employees,"74,147","80,837","890,289","46,565,598",2005
,500-999 employees,357,"2,828","156,920","9,817,077",2005
,"1,000-2,499 employees",269,"4,061","213,503","14,399,289",2005
,"2,500-4,999 employees",134,"2,450","169,097","12,031,210",2005
,"5,000-9,999 employees",119,"4,552","244,037","14,974,360",2005
,"10,000 or more employees",235,"46,562","1,728,753","105,342,191",2005
Finance and Insurance,Total,"259,983","476,806","6,431,837","446,739,512",2005
,<500 employees,"258,310","307,021","2,128,868","124,287,962",2005
,500-999 employees,538,"11,159","257,463","17,581,336",2005
,"1,000-2,499 employees",455,"18,107","414,477","28,986,188",2005
,"2,500-4,999 employees",242,"19,066","431,704","29,247,461",2005
,"5,000-9,999 employees",171,"14,228","425,325","40,401,648",2005
,"10,000 or more employees",267,"107,225","2,774,000","206,234,917",2005
Real Estate and Rental and Leasing,Total,"300,525","370,651","2,144,077","81,790,239",2005
,<500 employees,"299,302","319,276","1,463,060","53,503,958",2005
,500-999 employees,406,"4,794","102,153","4,654,287",2005
,"1,000-2,499 employees",331,"5,631","89,354","4,137,817",2005
,"2,500-4,999 employees",155,"5,760","65,293","2,951,154",2005
,"5,000-9,999 employees",125,"10,280","100,456","5,742,935",2005
,"10,000 or more employees",206,"24,910","323,761","10,800,088",2005
"Professional, Scientific, and Technical Services",Total,"757,174","826,101","7,689,366","456,455,965",2005
,<500 employees,"754,274","778,507","4,741,326","262,513,454",2005
,500-999 employees,934,"5,283","364,378","24,325,646",2005
,"1,000-2,499 employees",812,"5,450","459,238","32,082,946",2005
,"2,500-4,999 employees",391,"6,066","308,061","19,454,924",2005
,"5,000-9,999 employees",295,"7,278","318,587","17,378,284",2005
,"10,000 or more employees",468,"23,517","1,497,776","100,700,711",2005
Management of Companies and Enterprises,Total,"26,513","47,593","2,856,418","243,267,191",2005
,<500 employees,"19,540","20,860","337,981","21,044,516",2005
,500-999 employees,"2,472","3,365","172,327","12,460,068",2005
,"1,000-2,499 employees","2,052","3,581","268,328","22,277,509",2005
,"2,500-4,999 employees","1,032","3,086","281,024","25,348,860",2005
,"5,000-9,999 employees",660,"2,778","315,377","27,876,560",2005
,"10,000 or more employees",757,"13,923","1,481,381","134,259,678",2005
"Admin., Support, Waste Mngt., and Remediation",Total,"320,252","369,507","9,280,282","255,399,069",2005
,<500 employees,"316,766","327,089","3,619,717","101,086,459",2005
,500-999 employees,"1,349","4,565","653,547","15,498,413",2005
,"1,000-2,499 employees","1,009","5,779","877,199","21,338,686",2005
,"2,500-4,999 employees",440,"4,937","624,759","18,304,592",2005
,"5,000-9,999 employees",286,"4,196","621,054","16,476,683",2005
,"10,000 or more employees",402,"22,941","2,884,006","82,694,236",2005
Educational Services,Total,"72,410","80,486","2,879,374","82,522,976",2005
,<500 employees,"71,293","75,074","1,294,428","33,014,630",2005
,500-999 employees,494,"1,485","288,013","6,714,230",2005
,"1,000-2,499 employees",390,"1,189","460,202","11,003,968",2005
,"2,500-4,999 employees",87,583,"184,851","5,741,224",2005
,"5,000-9,999 employees",48,975,"205,025","7,332,672",2005
,"10,000 or more employees",98,"1,180","446,855","18,716,252",2005
Health Care and Social Assistance,Total,"599,392","746,600","16,025,147","589,654,273",2005
,<500 employees,"595,641","668,593","7,748,761","269,349,560",2005
,500-999 employees,"1,767","17,447","1,125,104","35,772,778",2005
,"1,000-2,499 employees","1,152","15,264","1,615,383","58,788,442",2005
,"2,500-4,999 employees",447,"9,283","1,354,802","54,653,084",2005
,"5,000-9,999 employees",210,"7,763","1,220,234","49,655,617",2005
,"10,000 or more employees",175,"28,250","2,960,863","121,434,792",2005
"Arts, Entertainment, and Recreation",Total,"114,145","121,777","1,936,484","52,935,670",2005
,<500 employees,"113,495","116,130","1,280,666","36,594,357",2005
,500-999 employees,279,"1,329","127,434","4,433,201",2005
,"1,000-2,499 employees",184,"1,415","152,121","4,280,240",2005
,"2,500-4,999 employees",71,497,"79,955","1,873,941",2005
,"5,000-9,999 employees",40,438,"37,613","611,608",2005
,"10,000 or more employees",76,"1,968","258,695","5,142,323",2005
Accommodation and Food Services,Total,"462,983","603,435","11,025,909","156,041,233",2005
,<500 employees,"461,168","500,969","6,611,592","84,859,803",2005
,500-999 employees,926,"13,642","538,093","7,439,550",2005
,"1,000-2,499 employees",506,"14,426","585,002","8,827,817",2005
,"2,500-4,999 employees",172,"10,008","414,430","6,990,670",2005
,"5,000-9,999 employees",88,"7,481","367,951","5,853,122",2005
,"10,000 or more employees",123,"56,909","2,508,841","42,070,271",2005
Other Services (except Public Administration),Total,"676,400","740,034","5,390,954","127,480,612",2005
,<500 employees,"675,026","702,368","4,612,968","104,777,388",2005
,500-999 employees,481,"4,980","154,318","4,566,078",2005
,"1,000-2,499 employees",353,"5,293","140,103","3,597,796",2005
,"2,500-4,999 employees",209,"3,947","120,174","3,081,926",2005
,"5,000-9,999 employees",118,"2,331","73,960","2,564,330",2005
,"10,000 or more employees",213,"21,115","289,431","8,893,094",2005
Unclassified,Total,"23,986","23,986","31,153","537,616",2005
,<500 employees,"23,986","23,986","31,153","537,616",2005
Total,Total,"5,885,784","7,387,724","115,074,924","4,253,995,732",2004
,<500 employees,"5,868,737","6,331,242","58,597,452","1,917,364,605",2004
,500-999 employees,"8,404","108,140","5,781,342","217,589,245",2004
,"1,000-2,499 employees","5,109","133,970","7,840,857","312,415,537",2004
,"2,500-4,999 employees","1,739","106,893","6,038,196","262,111,452",2004
,"5,000-9,999 employees",905,"120,311","6,378,292","278,396,903",2004
,"10,000 or more employees",890,"587,168","30,438,785","1,266,117,990",2004
"Ag. Support, Forestry, Fishing, and Hunting",Total,"24,873","25,528","182,121","5,224,036",2004
,<500 employees,"24,782","25,063",[m],(D),2004
,500-999 employees,21,92,[h],(D),2004
,"1,000-2,499 employees",29,157,"9,989","335,449",2004
,"2,500-4,999 employees",20,38,"1,745","59,980",2004
,"5,000-9,999 employees",8,21,445,"23,056",2004
,"10,000 or more employees",13,157,[i],(D),2004
Mining,Total,"18,605","23,842","470,280","26,749,492",2004
,<500 employees,"18,290","20,009","211,124","10,410,821",2004
,500-999 employees,96,428,"28,236","1,956,722",2004
,"1,000-2,499 employees",93,913,"54,908","3,254,387",2004
,"2,500-4,999 employees",43,421,"33,769","2,081,477",2004
,"5,000-9,999 employees",41,"1,189","63,805","3,492,436",2004
,"10,000 or more employees",42,882,"78,438","5,553,649",2004
Utilities,Total,"6,695","17,675","634,734","44,765,847",2004
,<500 employees,"6,501","8,002","107,513","5,521,623",2004
,500-999 employees,33,318,"14,910","1,009,065",2004
,"1,000-2,499 employees",53,991,"47,380","3,272,106",2004
,"2,500-4,999 employees",28,"1,346","55,874","4,096,543",2004
,"5,000-9,999 employees",35,"2,259","111,090","7,735,237",2004
,"10,000 or more employees",45,"4,759","297,967","23,131,273",2004
Construction,Total,"751,098","760,372","6,647,641","268,268,185",2004
,<500 employees,"750,120","753,073","5,745,598","222,543,388",2004
,500-999 employees,466,"1,476","237,561","11,237,430",2004
,"1,000-2,499 employees",259,"1,243","218,531","10,736,450",2004
,"2,500-4,999 employees",95,981,"115,174","6,444,251",2004
,"5,000-9,999 employees",71,818,"100,384","5,535,449",2004
,"10,000 or more employees",87,"2,781","230,393","11,771,217",2004
Manufacturing,Total,"293,461","339,083","13,821,976","592,829,838",2004
,<500 employees,"289,425","303,597","6,080,495","222,513,293",2004
,500-999 employees,"1,741","6,383","921,490","38,420,340",2004
,"1,000-2,499 employees","1,197","7,666","1,300,815","56,073,815",2004
,"2,500-4,999 employees",468,"5,486","1,017,789","46,508,895",2004
,"5,000-9,999 employees",295,"5,770","992,912","44,832,386",2004
,"10,000 or more employees",335,"10,181","3,508,475","184,481,109",2004
Wholesale Trade,Total,"337,642","429,489","5,907,051","290,576,332",2004
,<500 employees,"334,655","373,293","3,637,296","158,798,469",2004
