NAICS Sector,Enterprise Size,Firms,Establishments,Employment,"Payroll ($1,000)",Year
,"1,000-2,499 employees",693,"4,955","423,773","27,439,528",2002
,"2,500-4,999 employees",300,"6,246","248,730","14,796,764",2002
,"5,000-9,999 employees",236,"4,645","274,974","14,724,699",2002
,"10,000 or more employees",390,"19,668","1,224,739","62,933,935",2002
Management of Companies and Enterprises,Total,"28,229","49,383","2,913,798","204,802,311",2002
,<500 employees,"21,505","22,974","377,431","19,895,020",2002
,500-999 employees,"2,336","3,220","182,330","10,660,848",2002
,"1,000-2,499 employees","2,016","3,478","276,466","18,175,903",2002
,"2,500-4,999 employees",963,"2,836","281,737","20,098,014",2002
,"5,000-9,999 employees",632,"2,847","305,091","21,704,692",2002
,"10,000 or more employees",777,"14,028","1,490,743","114,267,834",2002
"Admin., Support, Waste Mngt., and Remediation",Total,"289,303","343,544","8,299,217","212,189,377",2002
,<500 employees,"286,197","298,192","3,285,548","85,303,929",2002
,500-999 employees,"1,203","4,707","580,791","13,446,550",2002
,"1,000-2,499 employees",893,"5,548","793,965","18,979,256",2002
,"2,500-4,999 employees",375,"4,503","577,590","14,729,696",2002
,"5,000-9,999 employees",241,"4,027","502,659","14,980,888",2002
,"10,000 or more employees",394,"26,567","2,558,664","64,749,058",2002
Educational Services,Total,"65,933","73,701","2,701,675","71,961,852",2002
,<500 employees,"64,922","69,315","1,275,102","30,041,147",2002
,500-999 employees,463,"1,262","270,026","5,908,591",2002
,"1,000-2,499 employees",345,909,"414,385","9,247,664",2002
,"2,500-4,999 employees",75,566,"181,796","5,410,476",2002
,"5,000-9,999 employees",43,760,"164,115","5,577,183",2002
,"10,000 or more employees",85,889,"396,251","15,776,791",2002
Health Care and Social Assistance,Total,"560,083","703,540","14,900,148","499,177,227",2002
,<500 employees,"556,463","634,153","7,144,930","232,331,750",2002
,500-999 employees,"1,685","16,040","1,070,358","30,945,806",2002
,"1,000-2,499 employees","1,123","13,513","1,576,760","52,852,547",2002
,"2,500-4,999 employees",452,"8,474","1,339,667","48,689,266",2002
,"5,000-9,999 employees",188,"6,597","1,045,705","38,574,648",2002
,"10,000 or more employees",172,"24,763","2,722,728","95,783,210",2002
"Arts, Entertainment, and Recreation",Total,"103,043","110,375","1,800,991","47,724,377",2002
,<500 employees,"102,453","105,346","1,193,125","33,263,048",2002
,500-999 employees,235,"1,157",[m],(D),2002
,"1,000-2,499 employees",184,"1,313","151,353","3,864,461",2002
,"2,500-4,999 employees",46,302,[k],(D),2002
,"5,000-9,999 employees",47,272,"68,889","1,447,955",2002
,"10,000 or more employees",78,"1,985","235,958","5,058,634",2002
Accommodation and Food Services,Total,"427,465","565,149","10,048,875","131,110,795",2002
,<500 employees,"425,777","468,035","6,086,586","73,457,005",2002
,500-999 employees,818,"12,831","460,878","5,875,352",2002
,"1,000-2,499 employees",488,"14,057","561,637","7,493,315",2002
,"2,500-4,999 employees",145,"8,956","326,855","4,676,268",2002
,"5,000-9,999 employees",110,"9,952","468,669","6,851,318",2002
,"10,000 or more employees",127,"51,318","2,144,250","32,757,537",2002
Other Services (except Public Administration),Total,"675,218","740,118","5,420,087","118,899,903",2002
,<500 employees,"673,955","703,656","4,669,878","98,625,233",2002
,500-999 employees,454,"4,810","145,850","4,150,719",2002
,"1,000-2,499 employees",330,"5,372","146,016","3,408,386",2002
,"2,500-4,999 employees",189,"3,830","103,222","2,604,804",2002
,"5,000-9,999 employees",99,"4,329","98,215","2,830,817",2002
,"10,000 or more employees",191,"18,121","256,906","7,279,944",2002
Auxiliaries (not in Sector 55),Total,"5,349","13,580","1,011,496","52,670,905",2002
,<500 employees,"3,094","3,640",[l],(D),2002
,500-999 employees,534,819,[k],(D),2002
,"1,000-2,499 employees",610,"1,261","57,081","2,669,869",2002
,"2,500-4,999 employees",338,825,"57,409","2,733,711",2002
,"5,000-9,999 employees",292,"1,272","74,307","3,805,707",2002
,"10,000 or more employees",481,"5,763","727,299","39,582,868",2002
Unclassified,Total,"35,722","35,722","32,769","960,381",2002
,<500 employees,"35,721","35,721",[k],(D),2002
,"2,500-4,999 employees",1,1,[a],(D),2002
Total,Total,"5,657,774","7,095,302","115,061,184","3,989,086,323",2001
,<500 employees,"5,640,407","6,079,993","57,383,449","1,767,546,642",2001
,500-999 employees,"8,572","102,229","5,906,266","203,984,554",2001
,"1,000-2,499 employees","5,161","131,911","7,894,226","281,952,217",2001
,"2,500-4,999 employees","1,770","103,347","6,063,596","232,662,113",2001
,"5,000-9,999 employees",934,"120,158","6,456,068","255,249,225",2001
,"10,000 or more employees",930,"557,664","31,357,579","1,247,691,572",2001
"Ag. Support, Forestry, Fishing, and Hunting",Total,"25,802","26,447","183,476","4,791,849",2001
,<500 employees,"25,715","26,039","163,864","4,090,391",2001
,500-999 employees,23,36,"5,498","112,204",2001
,"1,000-2,499 employees",25,94,"4,796","155,643",2001
,"2,500-4,999 employees",14,93,"3,029","114,859",2001
,"5,000-9,999 employees",7,14,392,"20,141",2001
,"10,000 or more employees",18,171,"5,897","298,611",2001
Mining,Total,"19,340","24,319","485,565","25,014,357",2001
,<500 employees,"19,015","20,452","214,539","9,485,738",2001
,500-999 employees,98,507,"29,101","1,584,753",2001
,"1,000-2,499 employees",91,646,"38,561","2,121,369",2001
,"2,500-4,999 employees",49,575,"55,292","3,139,019",2001
,"5,000-9,999 employees",33,"1,007","50,929","2,418,394",2001
,"10,000 or more employees",54,"1,132","97,143","6,265,084",2001
Utilities,Total,"7,283","17,702","654,484","41,942,303",2001
,<500 employees,"7,069","8,338","105,970","4,676,100",2001
,500-999 employees,47,454,"20,396","1,216,270",2001
,"1,000-2,499 employees",49,900,"44,873","3,134,355",2001
,"2,500-4,999 employees",35,"1,190","56,280","3,719,532",2001
,"5,000-9,999 employees",34,"1,770","104,676","7,141,562",2001
,"10,000 or more employees",49,"5,050","322,289","22,054,484",2001
Construction,Total,"691,110","698,898","6,491,994","247,211,475",2001
,<500 employees,"690,081","692,200","5,527,298","202,964,093",2001
,500-999 employees,457,"1,095","217,929","9,796,931",2001
,"1,000-2,499 employees",283,"1,318","232,069","10,896,576",2001
,"2,500-4,999 employees",87,891,"110,676","5,522,275",2001
,"5,000-9,999 employees",78,756,"103,796","4,454,109",2001
,"10,000 or more employees",124,"2,638","300,226","13,577,491",2001
Manufacturing,Total,"305,160","352,619","15,950,424","617,699,378",2001
,<500 employees,"300,627","314,051","6,637,966","219,731,208",2001
,500-999 employees,"1,986","6,779","1,084,709","39,656,162",2001
,"1,000-2,499 employees","1,337","8,541","1,471,925","55,751,337",2001
,"2,500-4,999 employees",497,"5,480","1,085,183","43,092,912",2001
,"5,000-9,999 employees",342,"6,372","1,281,556","52,141,178",2001
,"10,000 or more employees",371,"11,396","4,389,085","207,326,581",2001
Wholesale Trade,Total,"346,027","438,924","6,142,089","275,899,416",2001
,<500 employees,"342,772","379,313","3,864,994","153,718,464",2001
,500-999 employees,"1,165","8,103","288,432","13,657,371",2001
,"1,000-2,499 employees",944,"9,941","327,070","15,694,759",2001
,"2,500-4,999 employees",452,"8,487","266,829","13,516,693",2001
,"5,000-9,999 employees",306,"10,314","323,630","16,873,583",2001
,"10,000 or more employees",388,"22,766","1,071,134","62,438,546",2001
Retail Trade,Total,"735,135","1,119,950","14,890,289","314,756,961",2001
,<500 employees,"732,718","825,731","6,462,404","155,889,339",2001
,500-999 employees,891,"20,139","355,565","8,465,630",2001
,"1,000-2,499 employees",652,"30,858","496,789","10,573,411",2001
,"2,500-4,999 employees",301,"29,525","447,988","9,745,411",2001
,"5,000-9,999 employees",226,"36,011","609,661","11,461,442",2001
,"10,000 or more employees",347,"177,686","6,517,882","118,621,728",2001
Transportation and Warehousing,Total,"157,197","190,683","3,750,663","129,506,183",2001
,<500 employees,"156,083","164,813","1,557,738","44,694,899",2001
,500-999 employees,373,"3,016","149,464","5,172,229",2001
,"1,000-2,499 employees",321,"3,710","232,021","7,890,171",2001
,"2,500-4,999 employees",138,"2,588","161,352","5,430,581",2001
,"5,000-9,999 employees",100,"2,127","135,489","4,886,109",2001
,"10,000 or more employees",182,"14,429","1,514,599","61,432,194",2001
Information,Total,"77,459","137,293","3,754,698","207,124,226",2001
,<500 employees,"76,326","81,915","994,997","46,186,464",2001
,500-999 employees,389,"2,937","182,080","10,153,106",2001
,"1,000-2,499 employees",289,"3,125","223,938","13,683,306",2001
,"2,500-4,999 employees",145,"3,246","232,863","12,855,238",2001
,"5,000-9,999 employees",98,"4,487","209,825","9,700,129",2001
,"10,000 or more employees",212,"41,583","1,910,995","114,545,983",2001
Finance and Insurance,Total,"230,595","425,028","6,248,400","373,569,819",2001
,<500 employees,"228,986","271,795","1,941,013","97,600,609",2001
,500-999 employees,522,"9,385","249,542","15,342,292",2001
,"1,000-2,499 employees",399,"14,048","348,467","19,045,990",2001
,"2,500-4,999 employees",236,"13,769","421,263","24,623,993",2001
,"5,000-9,999 employees",163,"11,032","386,542","28,534,158",2001
,"10,000 or more employees",289,"104,999","2,901,573","188,422,777",2001
Real Estate and Rental and Leasing,Total,"247,582","307,003","2,013,673","64,009,540",2001
,<500 employees,"246,365","265,352","1,380,907","42,157,925",2001
,500-999 employees,387,"4,049","86,943","3,184,073",2001
,"1,000-2,499 employees",344,"5,547","93,035","3,430,483",2001
,"2,500-4,999 employees",151,"3,632","61,857","2,272,947",2001
,"5,000-9,999 employees",112,"9,774","94,960","5,036,569",2001
,"10,000 or more employees",223,"18,649","295,971","7,927,543",2001
"Professional, Scientific, and Technical Services",Total,"682,278","736,454","7,156,579","374,409,080",2001
,<500 employees,"679,853","700,863","4,589,019","229,707,061",2001
,500-999 employees,846,"4,652","356,012","22,383,595",2001
,"1,000-2,499 employees",684,"5,633","442,977","28,634,799",2001
,"2,500-4,999 employees",286,"4,258","259,446","14,832,192",2001
,"5,000-9,999 employees",235,"5,938","272,598","14,117,252",2001
,"10,000 or more employees",374,"15,110","1,236,527","64,734,181",2001
Management of Companies and Enterprises,Total,"26,794","47,559","2,879,223","213,123,787",2001
,<500 employees,"20,096","21,390","325,473","17,967,887",2001
,500-999 employees,"2,235","2,978","160,773","9,676,847",2001
,"1,000-2,499 employees","2,046","3,657","271,434","17,952,302",2001
,"2,500-4,999 employees",945,"2,602","259,655","19,220,201",2001
,"5,000-9,999 employees",677,"2,812","330,183","24,989,655",2001
,"10,000 or more employees",795,"14,120","1,531,705","123,316,895",2001
"Admin., Support, Waste Mngt., and Remediation",Total,"308,502","362,665","9,061,987","221,385,956",2001
,<500 employees,"305,329","315,284","3,525,685","88,885,421",2001
,500-999 employees,"1,255","4,378","630,091","13,902,762",2001
,"1,000-2,499 employees",919,"5,380","830,868","18,352,912",2001
,"2,500-4,999 employees",363,"4,968","612,192","14,196,458",2001
,"5,000-9,999 employees",252,"4,466","608,581","15,576,999",2001
,"10,000 or more employees",384,"28,189","2,854,570","70,471,404",2001
Educational Services,Total,"63,690","70,878","2,612,430","67,097,541",2001
,<500 employees,"62,701","66,878","1,237,081","28,267,373",2001
,500-999 employees,455,"1,120","263,905","5,548,945",2001
,"1,000-2,499 employees",337,798,"401,617","8,458,883",2001
,"2,500-4,999 employees",80,645,"181,622","4,948,090",2001
,"5,000-9,999 employees",43,478,"152,910","5,124,737",2001
,"10,000 or more employees",74,959,"375,295","14,749,513",2001
Health Care and Social Assistance,Total,"540,976","671,370","14,534,726","465,712,029",2001
,<500 employees,"537,437","603,376","6,905,825","218,400,127",2001
,500-999 employees,"1,651","13,751","1,052,213","29,488,946",2001
,"1,000-2,499 employees","1,099","14,775","1,557,187","49,867,380",2001
,"2,500-4,999 employees",441,"7,086","1,298,781","44,331,523",2001
,"5,000-9,999 employees",191,"7,047","1,074,018","37,921,136",2001
,"10,000 or more employees",157,"25,335","2,646,702","85,702,917",2001
"Arts, Entertainment, and Recreation",Total,"99,124","105,961","1,780,362","46,132,864",2001
,<500 employees,"98,545","101,065","1,193,078","32,614,232",2001
,500-999 employees,227,"1,006","104,630","2,896,036",2001
,"1,000-2,499 employees",174,"1,240","139,954","3,269,646",2001
,"2,500-4,999 employees",54,366,"44,439","999,815",2001
,"5,000-9,999 employees",48,316,"65,135","1,349,036",2001
,"10,000 or more employees",76,"1,968","233,126","5,004,099",2001
Accommodation and Food Services,Total,"416,464","548,569","9,972,301","128,649,922",2001
,<500 employees,"414,792","454,179","5,999,195","71,015,341",2001
,500-999 employees,827,"12,751","482,476","6,183,007",2001
,"1,000-2,499 employees",447,"13,902","531,537","7,150,229",2001
,"2,500-4,999 employees",155,"9,036","349,190","4,855,557",2001
,"5,000-9,999 employees",114,"10,204","471,085","6,774,200",2001
,"10,000 or more employees",129,"48,497","2,138,818","32,671,588",2001
Other Services (except Public Administration),Total,"658,412","719,402","5,370,479","115,218,331",2001
,<500 employees,"657,151","684,722","4,593,627","94,784,796",2001
,500-999 employees,455,"4,232","152,442","4,036,712",2001
,"1,000-2,499 employees",331,"6,484","154,044","3,579,556",2001
,"2,500-4,999 employees",177,"3,937","99,798","2,464,411",2001
,"5,000-9,999 employees",102,"3,886","94,674","2,505,367",2001
,"10,000 or more employees",196,"16,141","275,894","7,847,489",2001
Auxiliaries (not in Sector 55),Total,"5,401","14,934","1,022,114","53,475,502",2001
,<500 employees,"3,018","3,593","57,548","2,353,370",2001
,500-999 employees,559,861,"34,065","1,526,683",2001
,"1,000-2,499 employees",644,"1,314","51,064","2,309,110",2001
,"2,500-4,999 employees",340,973,"55,861","2,780,406",2001
,"5,000-9,999 employees",332,"1,347","85,428","4,223,469",2001
,"10,000 or more employees",508,"6,846","738,148","40,282,464",2001
Unclassified,Total,"78,644","78,644","105,228","2,355,804",2001
,<500 employees,"78,644","78,644","105,228","2,355,804",2001
Total,Total,"5,652,544","7,070,048","114,064,976","3,879,430,052",2000
,<500 employees,"5,635,391","6,080,050","57,124,044","1,727,114,941",2000
,500-999 employees,"8,483","102,303","5,855,270","201,266,061",2000
,"1,000-2,499 employees","5,051","131,931","7,759,918","277,659,788",2000
,"2,500-4,999 employees","1,773","100,855","6,073,500","229,085,791",2000
,"5,000-9,999 employees",903,"123,339","6,299,143","236,380,718",2000
,"10,000 or more employees",943,"531,570","30,953,101","1,207,922,753",2000
"Ag. Support, Forestry, Fishing, and Hunting",Total,"25,450","26,076","183,565","4,682,533",2000
,<500 employees,"25,353","25,649","161,830","3,943,171",2000
,500-999 employees,30,53,"6,201","141,232",2000
,"1,000-2,499 employees",24,83,"5,662","155,859",2000
,"2,500-4,999 employees",15,35,"1,812","62,283",2000
,"5,000-9,999 employees",7,15,596,"20,669",2000
,"10,000 or more employees",21,241,"7,464","359,319",2000
Mining,Total,"18,756","23,738","456,128","22,091,246",2000
,<500 employees,"18,421","19,983","200,474","8,324,841",2000
,500-999 employees,100,544,"29,524","1,625,625",2000
,"1,000-2,499 employees",100,693,"42,545","2,128,726",2000
,"2,500-4,999 employees",50,507,"44,565","2,528,577",2000
,"5,000-9,999 employees",36,"1,088","55,575","2,467,872",2000
,"10,000 or more employees",49,923,"83,445","5,015,605",2000
Utilities,Total,"7,022","17,301","655,230","40,650,836",2000
,<500 employees,"6,807","8,112","104,736","4,459,152",2000
,500-999 employees,47,451,"19,611","1,205,946",2000
,"1,000-2,499 employees",48,775,"47,108","2,852,868",2000
,"2,500-4,999 employees",35,"1,258","61,520","3,845,419",2000
,"5,000-9,999 employees",36,"1,898","110,377","7,030,036",2000
,"10,000 or more employees",49,"4,807","311,878","21,257,415",2000
Construction,Total,"701,947","709,590","6,572,800","239,910,149",2000
,<500 employees,"700,941","703,031","5,675,068","198,989,605",2000
,500-999 employees,460,"1,229","223,839","10,024,686",2000
,"1,000-2,499 employees",244,"1,200","189,628","8,972,198",2000
,"2,500-4,999 employees",93,768,"107,347","4,784,859",2000
,"5,000-9,999 employees",90,842,"122,918","5,825,696",2000
,"10,000 or more employees",119,"2,520","254,000","11,313,105",2000
Manufacturing,Total,"306,303","354,498","16,473,994","643,953,798",2000
,<500 employees,"301,639","315,111","6,801,885","225,999,452",2000
,500-999 employees,"2,065","7,049","1,122,923","42,056,940",2000
,"1,000-2,499 employees","1,350","8,584","1,502,228","57,601,280",2000
,"2,500-4,999 employees",525,"5,851","1,172,689","46,046,918",2000
,"5,000-9,999 employees",334,"5,921","1,236,602","50,752,454",2000
,"10,000 or more employees",390,"11,982","4,637,667","221,496,754",2000
Wholesale Trade,Total,"354,153","446,237","6,112,029","270,122,206",2000
,<500 employees,"350,853","387,886","3,886,521","153,735,174",2000
,500-999 employees,"1,177","8,111","284,141","12,900,815",2000
,"1,000-2,499 employees",960,"10,136","329,368","14,919,519",2000
,"2,500-4,999 employees",438,"7,429","249,023","12,670,225",2000
,"5,000-9,999 employees",321,"10,395","339,515","16,949,895",2000
,"10,000 or more employees",404,"22,280","1,023,461","58,946,578",2000
Retail Trade,Total,"731,444","1,113,573","14,840,775","302,552,506",2000
,<500 employees,"729,032","824,352","6,491,606","151,347,692",2000
,500-999 employees,852,"18,662","322,360","7,559,059",2000
,"1,000-2,499 employees",676,"31,586","521,358","11,529,293",2000
,"2,500-4,999 employees",315,"29,973","480,611","9,304,705",2000
,"5,000-9,999 employees",221,"40,511","604,877","11,170,589",2000
,"10,000 or more employees",348,"168,489","6,419,963","111,641,168",2000
Transportation and Warehousing,Total,"157,333","190,044","3,790,002","125,592,421",2000
,<500 employees,"156,189","165,136","1,556,096","43,992,717",2000
,500-999 employees,376,"2,980","154,502","5,154,567",2000
,"1,000-2,499 employees",334,"4,232","235,316","8,095,780",2000
,"2,500-4,999 employees",138,"2,278","150,285","5,021,545",2000
,"5,000-9,999 employees",105,"2,434","160,832","5,105,232",2000
,"10,000 or more employees",191,"12,984","1,532,971","58,222,580",2000
Information,Total,"79,565","133,590","3,545,731","209,393,800",2000
,<500 employees,"78,471","84,168","996,511","51,851,418",2000
,500-999 employees,368,"2,862","169,756","11,076,389",2000
,"1,000-2,499 employees",279,"3,566","213,510","15,221,546",2000
,"2,500-4,999 employees",138,"2,483","197,857","12,491,810",2000
,"5,000-9,999 employees",106,"5,346","223,022","9,976,727",2000
,"10,000 or more employees",203,"35,165","1,745,075","108,775,910",2000
Finance and Insurance,Total,"227,034","423,727","5,963,426","346,805,452",2000
,<500 employees,"225,404","267,942","1,914,274","93,479,066",2000
,500-999 employees,498,"9,764","239,304","14,861,869",2000
,"1,000-2,499 employees",410,"14,381","356,997","21,727,432",2000
,"2,500-4,999 employees",245,"13,068","422,962","25,354,636",2000
,"5,000-9,999 employees",176,"11,684","397,072","20,768,955",2000
,"10,000 or more employees",301,"106,888","2,632,817","170,613,494",2000
Real Estate and Rental and Leasing,Total,"244,513","300,177","1,942,046","59,212,092",2000
,<500 employees,"243,246","262,011","1,357,860","39,838,990",2000
,500-999 employees,417,"4,260","85,402","2,989,404",2000
,"1,000-2,499 employees",341,"6,213","87,437","3,147,467",2000
,"2,500-4,999 employees",146,"3,871","55,925","2,226,546",2000
,"5,000-9,999 employees",137,"9,416","112,260","4,400,288",2000
,"10,000 or more employees",226,"14,406","243,162","6,609,397",2000
"Professional, Scientific, and Technical Services",Total,"670,099","722,698","6,816,216","362,008,229",2000
,<500 employees,"667,752","689,226","4,408,243","223,525,749",2000
,500-999 employees,824,"4,344","338,364","21,601,500",2000
,"1,000-2,499 employees",615,"4,786","375,716","25,410,529",2000
,"2,500-4,999 employees",304,"5,845","271,385","15,858,881",2000
,"5,000-9,999 employees",243,"4,497","289,070","15,204,437",2000
,"10,000 or more employees",361,"14,000","1,133,438","60,407,133",2000
Management of Companies and Enterprises,Total,"26,762","47,387","2,873,521","211,361,063",2000
,<500 employees,"20,091","21,344","307,641","16,894,844",2000
,500-999 employees,"2,229","2,994","157,761","9,738,710",2000
,"1,000-2,499 employees","2,020","3,567","253,449","16,976,140",2000
,"2,500-4,999 employees",957,"2,461","265,333","18,741,512",2000
,"5,000-9,999 employees",658,"2,746","322,639","22,533,118",2000
,"10,000 or more employees",807,"14,275","1,566,698","126,476,739",2000
"Admin., Support, Waste Mngt., and Remediation",Total,"299,329","351,528","9,138,100","210,281,063",2000
,<500 employees,"296,147","306,552","3,477,471","85,596,762",2000
,500-999 employees,"1,280","4,711","645,637","13,343,295",2000
,"1,000-2,499 employees",899,"6,015","808,903","18,298,525",2000
,"2,500-4,999 employees",366,"3,764","560,006","11,857,088",2000
,"5,000-9,999 employees",255,"4,377","534,252","12,417,113",2000
,"10,000 or more employees",382,"26,109","3,111,831","68,768,280",2000
Educational Services,Total,"60,934","68,014","2,532,324","61,923,347",2000
,<500 employees,"59,954","64,156","1,193,208","26,138,745",2000
,500-999 employees,467,"1,062","271,804","5,361,179",2000
,"1,000-2,499 employees",319,831,"391,348","7,767,128",2000
,"2,500-4,999 employees",75,701,"176,260","4,639,742",2000
,"5,000-9,999 employees",42,523,"160,346","5,303,572",2000
,"10,000 or more employees",77,741,"339,358","12,712,981",2000
Health Care and Social Assistance,Total,"532,042","658,559","14,108,655","431,430,402",2000
,<500 employees,"528,551","594,510","6,707,569","203,226,662",2000
,500-999 employees,"1,631","13,922","1,036,768","27,710,818",2000
,"1,000-2,499 employees","1,090","12,455","1,532,336","47,273,269",2000
,"2,500-4,999 employees",427,"7,164","1,281,394","42,373,651",2000
