NAICS Sector,Enterprise Size,Firms,Establishments,Employment,"Payroll ($1,000)",Year
,"5,000-9,999 employees",182,"7,360","988,681","32,943,542",2000
,"10,000 or more employees",161,"23,148","2,561,907","77,902,460",2000
"Arts, Entertainment, and Recreation",Total,"97,072","103,816","1,741,497","43,203,906",2000
,<500 employees,"96,497","99,055","1,183,105","30,447,094",2000
,500-999 employees,238,965,"111,147","3,212,368",2000
,"1,000-2,499 employees",156,"1,233","114,719","2,581,597",2000
,"2,500-4,999 employees",54,342,"49,691","1,122,606",2000
,"5,000-9,999 employees",54,275,"51,686","1,096,803",2000
,"10,000 or more employees",73,"1,946","231,149","4,743,438",2000
Accommodation and Food Services,Total,"412,776","542,411","9,880,923","125,581,836",2000
,<500 employees,"411,131","450,515","5,954,075","68,848,486",2000
,500-999 employees,800,"12,872","460,381","5,722,389",2000
,"1,000-2,499 employees",456,"14,802","554,336","7,272,469",2000
,"2,500-4,999 employees",161,"8,086","365,452","5,263,663",2000
,"5,000-9,999 employees",101,"8,433","415,643","6,043,143",2000
,"10,000 or more employees",127,"47,703","2,131,036","32,431,686",2000
Other Services (except Public Administration),Total,"661,709","723,323","5,293,399","109,876,770",2000
,<500 employees,"660,477","688,774","4,544,679","90,402,896",2000
,500-999 employees,437,"4,643","144,273","3,632,978",2000
,"1,000-2,499 employees",325,"5,458","143,605","3,285,692",2000
,"2,500-4,999 employees",167,"4,020","101,957","2,409,592",2000
,"5,000-9,999 employees",104,"4,296","87,108","2,223,350",2000
,"10,000 or more employees",199,"16,132","271,777","7,922,262",2000
Auxiliaries (not in Sector 55),Total,"5,403","14,793","1,001,015","54,863,304",2000
,<500 employees,"3,024","3,569","57,592","2,139,332",2000
,500-999 employees,550,825,"31,572","1,346,292",2000
,"1,000-2,499 employees",625,"1,335","54,349","2,442,471",2000
,"2,500-4,999 employees",358,951,"57,426","2,481,533",2000
,"5,000-9,999 employees",324,"1,282","86,072","4,147,227",2000
,"10,000 or more employees",522,"6,831","714,004","42,306,449",2000
Unclassified,Total,"98,968","98,968","143,600","3,933,093",2000
,<500 employees,"98,968","98,968","143,600","3,933,093",2000
Total,Total,"5,607,743","7,008,444","110,705,661","3,554,692,909",1999
,<500 employees,"5,591,003","6,048,129","55,729,092","1,601,129,388",1999
,500-999 employees,"8,235","101,268","5,662,057","181,765,746",1999
,"1,000-2,499 employees","4,992","127,946","7,629,355","254,215,167",1999
,"2,500-4,999 employees","1,706","102,720","5,904,452","211,574,407",1999
,"5,000-9,999 employees",871,"117,503","6,064,760","225,756,578",1999
,"10,000 or more employees",936,"510,878","29,715,945","1,080,251,623",1999
"Ag. Support, Forestry, Fishing, and Hunting",Total,"26,259","26,926","192,155","4,812,649",1999
,<500 employees,"26,141","26,373","163,040","3,969,300",1999
,500-999 employees,37,136,"10,013","174,964",1999
,"1,000-2,499 employees",29,95,"4,206","133,823",1999
,"2,500-4,999 employees",16,38,"4,221","121,760",1999
,"5,000-9,999 employees",10,19,655,"25,078",1999
,"10,000 or more employees",26,265,"10,020","387,724",1999
Mining,Total,"18,828","23,699","456,645","20,975,962",1999
,<500 employees,"18,485","20,069","196,051","7,553,231",1999
,500-999 employees,103,501,"27,342","1,371,398",1999
,"1,000-2,499 employees",101,731,"44,912","2,177,759",1999
,"2,500-4,999 employees",45,344,"30,907","1,517,626",1999
,"5,000-9,999 employees",46,"1,128","62,957","2,958,406",1999
,"10,000 or more employees",48,926,"94,476","5,397,542",1999
Utilities,Total,"6,663","16,578","667,062","39,354,990",1999
,<500 employees,"6,437","7,773","102,355","4,377,440",1999
,500-999 employees,49,433,"19,834","1,062,444",1999
,"1,000-2,499 employees",50,774,"47,174","2,636,038",1999
,"2,500-4,999 employees",33,"1,088","65,569","3,756,815",1999
,"5,000-9,999 employees",46,"2,875","170,851","10,748,087",1999
,"10,000 or more employees",48,"3,635","261,279","16,774,166",1999
Construction,Total,"691,490","698,541","6,201,626","219,087,088",1999
,<500 employees,"690,543","692,692","5,426,843","185,960,122",1999
,500-999 employees,422,"1,043","204,934","8,306,865",1999
,"1,000-2,499 employees",245,"1,257","183,992","8,096,534",1999
,"2,500-4,999 employees",83,830,"92,698","4,168,359",1999
,"5,000-9,999 employees",75,793,"101,513","4,123,878",1999
,"10,000 or more employees",122,"1,926","191,646","8,431,330",1999
Manufacturing,Total,"311,902","360,244","16,659,930","625,536,131",1999
,<500 employees,"307,153","321,085","6,841,339","218,134,152",1999
,500-999 employees,"2,111","7,063","1,142,076","40,275,268",1999
,"1,000-2,499 employees","1,383","8,663","1,555,625","56,592,813",1999
,"2,500-4,999 employees",523,"5,812","1,195,999","44,133,109",1999
,"5,000-9,999 employees",334,"5,565","1,275,662","50,188,762",1999
,"10,000 or more employees",398,"12,056","4,649,229","216,212,027",1999
Wholesale Trade,Total,"358,564","450,030","5,972,022","249,997,598",1999
,<500 employees,"355,263","393,141","3,834,277","144,296,931",1999
,500-999 employees,"1,165","7,921","264,691","11,164,434",1999
,"1,000-2,499 employees",973,"9,983","339,073","15,290,059",1999
,"2,500-4,999 employees",426,"9,015","251,612","11,383,365",1999
,"5,000-9,999 employees",325,"8,676","303,421","15,739,437",1999
,"10,000 or more employees",412,"21,294","978,948","52,123,372",1999
Retail Trade,Total,"730,303","1,111,260","14,476,628","281,946,316",1999
,<500 employees,"727,896","827,394","6,382,137","143,682,885",1999
,500-999 employees,857,"19,324","324,038","7,069,539",1999
,"1,000-2,499 employees",677,"30,754","501,714","9,979,845",1999
,"2,500-4,999 employees",313,"32,119","486,291","8,899,443",1999
,"5,000-9,999 employees",205,"37,747","570,815","9,426,608",1999
,"10,000 or more employees",355,"163,922","6,211,633","102,887,996",1999
Transportation and Warehousing,Total,"155,170","187,339","3,627,057","116,682,214",1999
,<500 employees,"154,032","163,517","1,524,169","41,992,045",1999
,500-999 employees,372,"3,181","151,421","5,074,534",1999
,"1,000-2,499 employees",321,"3,792","226,530","7,280,258",1999
,"2,500-4,999 employees",144,"3,028","171,452","5,302,760",1999
,"5,000-9,999 employees",110,"1,984","130,324","5,155,964",1999
,"10,000 or more employees",191,"11,837","1,423,161","51,876,653",1999
Information,Total,"77,052","126,510","3,234,530","170,282,356",1999
,<500 employees,"76,037","81,995","913,491","41,520,690",1999
,500-999 employees,341,"2,504","150,577","9,178,712",1999
,"1,000-2,499 employees",245,"3,504","183,546","10,811,588",1999
,"2,500-4,999 employees",132,"2,403","182,472","10,195,590",1999
,"5,000-9,999 employees",96,"4,349","203,450","7,133,726",1999
,"10,000 or more employees",201,"31,755","1,600,994","91,442,050",1999
Finance and Insurance,Total,"223,535","418,337","5,965,174","313,245,188",1999
,<500 employees,"221,872","265,992","1,916,205","85,049,670",1999
,500-999 employees,522,"10,710","246,300","13,763,317",1999
,"1,000-2,499 employees",417,"14,816","370,231","19,568,583",1999
,"2,500-4,999 employees",252,"12,221","451,323","25,812,736",1999
,"5,000-9,999 employees",173,"13,215","411,406","23,551,515",1999
,"10,000 or more employees",299,"101,383","2,569,709","145,499,367",1999
Real Estate and Rental and Leasing,Total,"242,838","298,080","1,873,792","54,095,260",1999
,<500 employees,"241,562","261,122","1,323,661","36,872,561",1999
,500-999 employees,399,"4,416","81,959","2,673,362",1999
,"1,000-2,499 employees",355,"4,480","80,677","2,690,141",1999
,"2,500-4,999 employees",148,"4,773","49,336","1,934,479",1999
,"5,000-9,999 employees",133,"8,807","83,499","2,915,849",1999
,"10,000 or more employees",241,"14,482","254,660","7,008,868",1999
"Professional, Scientific, and Technical Services",Total,"654,464","704,779","6,432,422","311,238,501",1999
,<500 employees,"652,198","673,680","4,189,638","195,604,420",1999
,500-999 employees,768,"3,995","305,995","17,649,221",1999
,"1,000-2,499 employees",603,"4,480","346,779","19,271,382",1999
,"2,500-4,999 employees",289,"5,878","252,175","13,660,287",1999
,"5,000-9,999 employees",246,"4,846","302,119","15,496,159",1999
,"10,000 or more employees",360,"11,900","1,035,716","49,557,032",1999
Management of Companies and Enterprises,Total,"26,873","46,528","2,788,276","192,378,035",1999
,<500 employees,"20,260","21,579","313,666","16,400,478",1999
,500-999 employees,"2,196","3,097","150,971","8,361,142",1999
,"1,000-2,499 employees","2,010","3,462","248,473","15,687,996",1999
,"2,500-4,999 employees",969,"2,442","265,454","17,047,866",1999
,"5,000-9,999 employees",626,"2,550","295,673","20,296,019",1999
,"10,000 or more employees",812,"13,398","1,514,039","114,584,534",1999
"Admin., Support, Waste Mngt., and Remediation",Total,"299,367","350,401","8,366,523","183,100,191",1999
,<500 employees,"296,325","307,009","3,376,784","78,054,926",1999
,500-999 employees,"1,226","4,613","607,582","12,129,247",1999
,"1,000-2,499 employees",832,"5,728","729,126","15,743,404",1999
,"2,500-4,999 employees",346,"3,440","485,212","9,090,154",1999
,"5,000-9,999 employees",260,"3,826","520,527","12,649,186",1999
,"10,000 or more employees",378,"25,785","2,647,292","55,433,274",1999
Educational Services,Total,"59,611","66,492","2,431,718","56,871,035",1999
,<500 employees,"58,660","62,945","1,143,215","23,925,307",1999
,500-999 employees,427,"1,060","244,949","4,546,325",1999
,"1,000-2,499 employees",347,863,"411,530","7,834,027",1999
,"2,500-4,999 employees",66,447,"148,897","4,017,576",1999
,"5,000-9,999 employees",38,532,"142,704","4,739,866",1999
,"10,000 or more employees",73,645,"340,423","11,807,934",1999
Health Care and Social Assistance,Total,"524,303","649,846","13,865,014","409,223,160",1999
,<500 employees,"520,873","587,499","6,510,370","190,179,861",1999
,500-999 employees,"1,603","12,452","1,016,428","26,699,126",1999
,"1,000-2,499 employees","1,074","12,020","1,511,228","45,212,808",1999
,"2,500-4,999 employees",407,"6,805","1,240,506","40,525,070",1999
,"5,000-9,999 employees",174,"5,048","917,753","29,307,572",1999
,"10,000 or more employees",172,"26,022","2,668,729","77,298,723",1999
"Arts, Entertainment, and Recreation",Total,"96,044","102,786","1,640,030","39,415,855",1999
,<500 employees,"95,492","97,985","1,133,406","28,808,259",1999
,500-999 employees,220,"1,117","102,607","2,257,152",1999
,"1,000-2,499 employees",171,"1,294","116,899","2,622,939",1999
,"2,500-4,999 employees",46,439,"48,662","1,013,019",1999
,"5,000-9,999 employees",39,103,"33,471","617,157",1999
,"10,000 or more employees",76,"1,848","204,985","4,097,329",1999
Accommodation and Food Services,Total,"411,644","539,576","9,638,007","116,924,965",1999
,<500 employees,"410,047","450,639","5,848,599","65,020,365",1999
,500-999 employees,769,"11,791","434,632","5,335,142",1999
,"1,000-2,499 employees",458,"13,512","527,891","6,921,664",1999
,"2,500-4,999 employees",139,"7,811","342,442","4,650,397",1999
,"5,000-9,999 employees",93,"9,434","374,722","4,954,400",1999
,"10,000 or more employees",138,"46,389","2,109,721","30,042,997",1999
Other Services (except Public Administration),Total,"656,875","717,892","5,151,464","101,953,241",1999
,<500 employees,"655,641","684,021","4,428,406","85,001,621",1999
,500-999 employees,448,"4,987","143,316","3,420,615",1999
,"1,000-2,499 employees",323,"6,442","139,951","2,999,765",1999
,"2,500-4,999 employees",156,"2,722","79,354","1,758,274",1999
,"5,000-9,999 employees",107,"4,822","89,939","2,349,916",1999
,"10,000 or more employees",200,"14,898","270,498","6,423,050",1999
Auxiliaries (not in Sector 55),Total,"5,462","14,589","959,257","44,814,940",1999
,<500 employees,"3,065","3,608","55,111","1,967,890",1999
,500-999 employees,548,924,"32,392","1,252,939",1999
,"1,000-2,499 employees",635,"1,296","59,798","2,663,741",1999
,"2,500-4,999 employees",369,"1,065","59,870","2,585,722",1999
,"5,000-9,999 employees",312,"1,184","73,299","3,378,993",1999
,"10,000 or more employees",533,"6,512","678,787","32,965,655",1999
Unclassified,Total,"98,011","98,011","106,329","2,757,234",1999
,<500 employees,"98,011","98,011","106,329","2,757,234",1999
Total,Total,"5,579,177","6,941,822","108,117,731","3,309,405,533",1998
,<500 employees,"5,562,799","6,030,325","55,064,409","1,512,769,153",1998
,500-999 employees,"8,055","99,276","5,547,037","166,642,047",1998
,"1,000-2,499 employees","4,914","125,462","7,516,009","240,614,600",1998
,"2,500-4,999 employees","1,654","99,271","5,717,754","197,883,555",1998
,"5,000-9,999 employees",869,"109,680","6,086,847","222,289,218",1998
,"10,000 or more employees",886,"477,808","28,185,675","969,206,960",1998
"Ag. Support, Forestry, Fishing, and Hunting",Total,"26,619","27,292","187,149","4,654,305",1998
,<500 employees,"26,506","26,732","163,747","3,841,690",1998
,500-999 employees,25,118,"5,577","114,194",1998
,"1,000-2,499 employees",32,113,"6,644","215,041",1998
,"2,500-4,999 employees",16,67,"2,099","111,569",1998
,"5,000-9,999 employees",11,23,706,"24,687",1998
,"10,000 or more employees",29,239,"8,376","347,124",1998
Mining,Total,"19,831","24,659","497,849","21,941,916",1998
,<500 employees,"19,486","21,120","219,197","8,016,704",1998
,500-999 employees,100,495,"29,410","1,308,959",1998
,"1,000-2,499 employees",103,832,"56,679","2,746,004",1998
,"2,500-4,999 employees",41,259,"25,237","1,156,718",1998
,"5,000-9,999 employees",49,862,"63,729","2,959,783",1998
,"10,000 or more employees",52,"1,091","103,597","5,753,748",1998
Utilities,Total,"6,603","15,895","682,227","38,097,227",1998
,<500 employees,"6,371","7,733","103,510","4,253,071",1998
,500-999 employees,49,438,"21,410","1,098,827",1998
,"1,000-2,499 employees",48,646,"45,924","2,538,042",1998
,"2,500-4,999 employees",39,"1,526","86,420","4,716,806",1998
,"5,000-9,999 employees",50,"2,823","196,470","11,597,981",1998
,"10,000 or more employees",46,"2,729","228,493","13,892,500",1998
Construction,Total,"686,250","693,018","5,798,942","198,547,023",1998
,<500 employees,"685,373","687,539","5,119,939","169,596,252",1998
,500-999 employees,389,"1,098","180,780","7,693,604",1998
,"1,000-2,499 employees",225,"1,108","148,628","6,409,532",1998
,"2,500-4,999 employees",81,863,"92,949","3,888,516",1998
,"5,000-9,999 employees",75,822,"101,162","4,580,873",1998
,"10,000 or more employees",107,"1,588","155,484","6,378,246",1998
Manufacturing,Total,"318,537","366,443","16,946,142","607,342,407",1998
,<500 employees,"313,699","327,871","7,014,800","214,087,867",1998
,500-999 employees,"2,136","6,930","1,157,058","38,523,180",1998
,"1,000-2,499 employees","1,442","8,820","1,612,414","55,586,422",1998
,"2,500-4,999 employees",520,"5,469","1,199,608","43,508,394",1998
,"5,000-9,999 employees",336,"5,944","1,371,017","52,350,221",1998
,"10,000 or more employees",404,"11,409","4,591,245","203,286,323",1998
Wholesale Trade,Total,"363,454","453,987","5,885,230","233,924,453",1998
,<500 employees,"360,149","398,930","3,849,853","139,376,232",1998
,500-999 employees,"1,144","7,532","243,891","9,778,441",1998
,"1,000-2,499 employees",984,"10,523","343,355","14,399,170",1998
,"2,500-4,999 employees",426,"8,167","244,758","10,618,033",1998
,"5,000-9,999 employees",344,"8,184","282,682","13,659,842",1998
,"10,000 or more employees",407,"20,651","920,691","46,092,735",1998
Retail Trade,Total,"738,890","1,113,851","14,241,512","260,349,716",1998
,<500 employees,"736,491","838,627","6,389,839","136,021,538",1998
,500-999 employees,852,"19,135","332,974","6,885,474",1998
,"1,000-2,499 employees",691,"32,462","512,408","9,569,259",1998
,"2,500-4,999 employees",311,"32,274","498,455","8,653,451",1998
,"5,000-9,999 employees",210,"35,967","576,634","9,427,166",1998
,"10,000 or more employees",335,"155,386","5,931,202","89,792,828",1998
Transportation and Warehousing,Total,"154,715","186,364","3,462,624","108,597,481",1998
,<500 employees,"153,605","163,454","1,506,900","40,065,921",1998
,500-999 employees,381,"3,176","163,501","5,093,972",1998
,"1,000-2,499 employees",311,"3,693","216,758","7,109,472",1998
,"2,500-4,999 employees",127,"2,141","137,870","4,355,693",1998
,"5,000-9,999 employees",110,"2,244","158,791","5,816,324",1998
,"10,000 or more employees",181,"11,656","1,278,804","46,156,099",1998
Information,Total,"75,299","120,635","3,142,024","146,824,689",1998
,<500 employees,"74,330","80,626","903,193","36,886,613",1998
,500-999 employees,307,"2,611","133,418","5,688,482",1998
,"1,000-2,499 employees",250,"3,099","187,434","9,218,808",1998
,"2,500-4,999 employees",127,"2,344","173,426","8,510,720",1998
,"5,000-9,999 employees",94,"3,848","201,975","6,484,620",1998
,"10,000 or more employees",191,"28,107","1,542,578","80,035,446",1998
Finance and Insurance,Total,"222,005","412,416","5,770,339","290,008,843",1998
,<500 employees,"220,365","265,947","1,880,635","81,243,527",1998
,500-999 employees,507,"9,572","232,318","11,478,120",1998
,"1,000-2,499 employees",425,"15,195","376,105","19,688,103",1998
,"2,500-4,999 employees",244,"11,491","400,331","23,786,306",1998
,"5,000-9,999 employees",181,"13,972","466,703","28,071,910",1998
,"10,000 or more employees",283,"96,239","2,414,247","125,740,877",1998
Real Estate and Rental and Leasing,Total,"242,497","292,450","1,812,728","49,888,042",1998
,<500 employees,"241,196","261,861","1,308,058","34,700,014",1998
,500-999 employees,421,"5,173","85,643","2,606,111",1998
,"1,000-2,499 employees",351,"5,684","87,494","3,061,682",1998
,"2,500-4,999 employees",158,"3,259","53,205","1,724,590",1998
,"5,000-9,999 employees",127,"1,990","38,842","1,747,302",1998
,"10,000 or more employees",244,"14,483","239,486","6,048,343",1998
"Professional, Scientific, and Technical Services",Total,"641,621","687,992","6,052,365","277,676,568",1998
,<500 employees,"639,458","661,395","4,011,432","179,576,659",1998
,500-999 employees,748,"4,002","282,253","15,137,938",1998
,"1,000-2,499 employees",570,"3,922","319,812","16,538,076",1998
,"2,500-4,999 employees",260,"4,491","193,967","9,646,509",1998
,"5,000-9,999 employees",241,"4,450","267,910","12,987,724",1998
,"10,000 or more employees",344,"9,732","976,991","43,789,662",1998
Management of Companies and Enterprises,Total,"26,419","43,681","2,703,799","175,648,657",1998
,<500 employees,"19,857","21,223","304,299","14,980,488",1998
,500-999 employees,"2,176","2,905","147,838","8,047,533",1998
,"1,000-2,499 employees","2,009","3,659","249,528","14,877,975",1998
,"2,500-4,999 employees",960,"2,343","243,194","14,782,429",1998
,"5,000-9,999 employees",643,"2,348","292,206","20,539,393",1998
,"10,000 or more employees",774,"11,203","1,466,734","102,420,839",1998
"Admin., Support, Waste Mngt., and Remediation",Total,"302,863","351,134","7,775,033","163,707,409",1998
,<500 employees,"299,989","310,993","3,348,283","73,212,231",1998
,500-999 employees,"1,165","4,510","580,545","11,013,729",1998
,"1,000-2,499 employees",804,"5,678","672,450","13,024,488",1998
,"2,500-4,999 employees",318,"2,910","437,331","8,464,265",1998
,"5,000-9,999 employees",231,"4,302","438,487","9,863,157",1998
,"10,000 or more employees",356,"22,741","2,297,937","48,129,539",1998
Educational Services,Total,"58,468","64,902","2,323,817","52,287,365",1998
,<500 employees,"57,542","61,810","1,092,787","21,937,245",1998
,500-999 employees,425,"1,051","244,150","4,269,297",1998
,"1,000-2,499 employees",328,883,"388,421","7,151,635",1998
,"2,500-4,999 employees",67,604,"138,897","3,683,200",1998
,"5,000-9,999 employees",32,59,"131,197","4,330,597",1998
,"10,000 or more employees",74,495,"328,365","10,915,391",1998
Health Care and Social Assistance,Total,"527,667","649,681","13,758,395","395,478,378",1998
,<500 employees,"524,253","590,492","6,453,555","182,896,989",1998
,500-999 employees,"1,602","12,720","1,024,618","26,661,168",1998
,"1,000-2,499 employees","1,072","10,456","1,516,290","44,838,358",1998
,"2,500-4,999 employees",418,"7,888","1,287,283","40,429,906",1998
,"5,000-9,999 employees",159,"4,677","857,308","26,371,516",1998
,"10,000 or more employees",163,"23,448","2,619,341","74,280,441",1998
"Arts, Entertainment, and Recreation",Total,"96,317","102,870","1,583,836","36,046,794",1998
,<500 employees,"95,786","98,417","1,108,204","26,763,528",1998
,500-999 employees,209,921,"95,578","2,270,278",1998
,"1,000-2,499 employees",165,902,"102,495","2,060,415",1998
,"2,500-4,999 employees",50,581,"41,844","856,024",1998
,"5,000-9,999 employees",44,336,"48,705","755,856",1998
,"10,000 or more employees",63,"1,713","187,010","3,340,693",1998
Accommodation and Food Services,Total,"418,270","544,565","9,466,660","109,595,274",1998
,<500 employees,"416,714","458,206","5,808,152","62,030,360",1998
,500-999 employees,759,"11,503","426,586","5,003,418",1998
,"1,000-2,499 employees",437,"11,590","491,404","6,589,648",1998
,"2,500-4,999 employees",137,"7,216","318,669","4,507,824",1998
,"5,000-9,999 employees",96,"9,575","436,964","5,571,322",1998
,"10,000 or more employees",127,"46,475","1,984,885","25,892,702",1998
Other Services (except Public Administration),Total,"659,258","719,368","5,038,717","96,012,860",1998
,<500 employees,"658,052","686,915","4,350,257","80,056,170",1998
,500-999 employees,434,"4,540","131,582","2,942,166",1998
,"1,000-2,499 employees",326,"4,923","124,217","2,652,850",1998
,"2,500-4,999 employees",142,"4,270","77,239","1,756,507",1998
,"5,000-9,999 employees",104,"6,129","94,516","2,334,940",1998
,"10,000 or more employees",200,"12,591","260,906","6,270,227",1998
Auxiliaries (not in Sector 55),Total,"5,333","13,816","916,349","41,475,743",1998
,<500 employees,"3,051","3,631","55,775","1,925,671",1998
,500-999 employees,518,846,"27,907","1,027,156",1998
,"1,000-2,499 employees",600,"1,274","57,549","2,339,620",1998
,"2,500-4,999 employees",354,"1,108","64,972","2,726,095",1998
,"5,000-9,999 employees",290,"1,125","60,843","2,814,004",1998
,"10,000 or more employees",520,"5,832","649,303","30,643,197",1998
Unclassified,Total,"56,803","56,803","71,994","1,300,383",1998
,<500 employees,"56,803","56,803","71,994","1,300,383",1998